business_name,category,city,state,address,phone,google_maps_url,notes
Bar Harbor Barbershop,Barber shop,Bar Harbor,ME,"286 Main St, Bar Harbor, ME 04609",(207) 702-5038,https://www.google.com/maps/search/?api=1&query=Bar+Harbor+Barbershop+286+Main+St+Bar+Harbor+ME,"Appears in Maps-adjacent landing pages (edan.io generated profile with 8 reviews and lat/lng). No first-party .com/.net found; edan.io is a third-party generated page, not a company website. Facebook/Yelp would also not count as a company site. Independent Main Street barber, not a chain."
Bernal's Body Shop,Auto body shop,Gallup,NM,"104 S Sixth St, Gallup, NM 87301",(505) 863-5671,https://www.google.com/maps/search/?api=1&query=Bernal%27s+Body+Shop+104+S+Sixth+St+Gallup+NM,"Third-party profile explicitly states 'No Website Listed / No Social Accounts Added'. Yellow Pages and AllPages listings with phone/address only. Established ~1982, independent. Web search found no official site. Alternate phone 505-879-7998 appears on one directory."
Dearmond Body Shop,Auto body shop,Gallup,NM,"710 S Second St, Gallup, NM 87301",(505) 863-6049,https://www.google.com/maps/search/?api=1&query=Dearmond+Body+Shop+710+S+Second+St+Gallup+NM,"Yellow Pages, AllPages, DirectoryPlus, and automobile101 listings; none publish a company website. Web search found no official .com/.net. Independent body/truck repair shop. Maps URL is name+address search."
Richards Auto Shop,Auto repair,Gallup,NM,"801 W Wilson Ave, Gallup, NM 87301",(505) 722-6547,https://www.google.com/maps/search/?api=1&query=Richards+Auto+Shop+801+W+Wilson+Ave+Gallup+NM,"Loc8NearMe page has Google-style hours (Mon-Fri 8am-6pm, Sat 8am-12pm) and 2024-2025 customer reviews, no website. Yellow Pages listing. Web search found no official company site. Independent family shop (reviewers mention staff by first name)."
Alvey's Automotive,Auto repair,Paducah,KY,"2344 New Holt Rd, Paducah, KY 42001",(270) 554-7434,https://www.google.com/maps/search/?api=1&query=Alvey%27s+Automotive+2344+New+Holt+Rd+Paducah+KY,MapQuest and LocalityBiz listings with address/phone and no Website button. Listed on Openbay/Wheree as a local shop. Web search found no official company website. Independent (reviews name owner Morris). Not a chain.
Leneave's Automotive Repair,Auto repair,Paducah,KY,"1023 S 21st St, Paducah, KY 42003",(270) 444-7925,https://www.google.com/maps/search/?api=1&query=Leneave%27s+Automotive+Repair+1023+S+21st+St+Paducah+KY,"Yellow Pages listing with a Yelp-style review. kentucky.repair-auto.org lists web site: unknown, owner Don Leneave. Web search found no official .com/.net. Independent. Maps GBP website field not opened directly."
Randles Auto Repair,Auto repair,Paducah,KY,"3129 Broadway St, Paducah, KY 42001",(270) 442-2774,https://www.google.com/maps/search/?api=1&query=Randles+Auto+Repair+3129+Broadway+St+Paducah+KY,"Yellow Pages listing. Directory dump lists manager Floyd Randles and web site: unknown. Web search found no official company site. Independent, not a chain. Maps confirmation is name+address search URL plus YP presence."
EQ Muffler (also listed as E Q Muffler / Muffler E Q),Muffler / exhaust / auto repair,Marquette,MI,"250 W Hampton St, Marquette, MI 49855",(906) 226-2131,https://www.google.com/maps/search/?api=1&query=EQ+Muffler+250+W+Hampton+St+Marquette+MI,"MapQuest place page shows hours and Call/Share but no Website button. Yellow Pages (Muffler E Q, 86 years in business) and Hubbiz/411.info listings have no company URL. One aggregator cites ~3.8 stars / 10 Yelp reviews. Established ~1940, independent. Web search found no official site."
Soapy & Sons,Auto body shop,Marquette,MI,"1210 S Front St, Marquette, MI 49855",(906) 228-7680,https://www.google.com/maps/search/?api=1&query=Soapy+%26+Sons+1210+S+Front+St+Marquette+MI,Yellow Pages listing with customer reviews (custom/collision paint). Hubbiz/AllPages listings have no website. Alternate address 1208 S Front St on one directory (adjacent). Web search found no official .com/.net. Independent.
Alaska Barber Shop,Barber shop,Fairbanks,AK,"305 Eagle Ave, Fairbanks, AK 99701",(907) 452-2459,https://www.google.com/maps/search/?api=1&query=Alaska+Barber+Shop+305+Eagle+Ave+Fairbanks+AK,"WhoDoYou local pack shows Google-style hours and a Google Knowledge Graph link (g.co/kgs/...). Deseret News/AP profile of owner Mike Ricci. Search synthesis: listed on Google Maps/Yelp/Apple Maps; Facebook page exists; no dedicated company website. Facebook is not a company website. Independent, not a chain."
Alaska We Tow & Auto Repair,Towing / auto repair,Fairbanks,AK,"3807 Leasure St #B, Fairbanks, AK 99701",(907) 455-9640,https://www.google.com/maps/search/?api=1&query=Alaska+We+Tow+%26+Auto+Repair+3807+Leasure+St+Fairbanks+AK,"Listed in multiple Fairbanks directories with owner Michelle Munro, founded ~1999, 1-4 employees. Directory pages have empty website field. Web search found no official .com/.net. Maps listing inferred from name+address; fewer Google-review aggregators than the barber shop, so GBP presence is less strongly proven than Miller Plumbing / Auto Beauty Shop."
